Model,Seed,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,F1,AUROC,Epoch_time
CNN-augmented_Adam_lr0.01_wd0.0,67,7,0.3496,0.7501,0.8416,0.687,0.6177,0.8094,11.99
CNN-augmented_Adam_lr0.01_wd0.0,67,8,0.3387,0.7062,0.8485,0.7186,0.6854,0.8061,12.07
CNN-augmented_Adam_lr0.01_wd0.0,67,9,0.3284,0.6579,0.856,0.7363,0.7118,0.8223,12.0
CNN-augmented_Adam_lr0.01_wd0.0,67,10,0.3174,0.7661,0.8613,0.7241,0.6891,0.8128,12.04
CNN-augmented_Adam_lr0.01_wd0.0,67,11,0.3039,0.7174,0.8678,0.7248,0.6974,0.8113,12.01
CNN-augmented_Adam_lr0.01_wd0.0,67,12,0.2945,0.7551,0.874,0.7191,0.6855,0.8078,12.1
CNN-augmented_Adam_lr0.01_wd0.0,67,13,0.2852,0.7868,0.8764,0.6944,0.6238,0.8169,12.07
CNN-augmented_Adam_lr0.01_wd0.0,67,14,0.2765,0.9356,0.8826,0.6487,0.5313,0.7817,12.07
CNN-augmented_Adam_lr0.01_wd0.0,67,15,0.2691,0.805,0.8863,0.6875,0.6333,0.7933,12.04
CNN-augmented_Adam_lr0.01_wd0.0,67,16,0.2635,0.7729,0.8876,0.7029,0.6636,0.8041,12.01
CNN-augmented_Adam_lr0.01_wd0.0,67,17,0.2544,1.0009,0.8937,0.653,0.527,0.7863,12.02
CNN-augmented_Adam_lr0.01_wd0.0,67,18,0.2476,0.8293,0.8974,0.6923,0.6362,0.7875,12.03
CNN-augmented_Adam_lr0.01_wd0.0,67,19,0.2423,0.8988,0.899,0.6811,0.6068,0.7825,12.02
CNN-augmented_Adam_lr0.01_wd0.0,67,20,0.2374,1.0007,0.9005,0.6642,0.5624,0.7946,12.02
CNN-augmented_Adam_lr0.01_wd0.0,67,21,0.234,0.9383,0.9046,0.6723,0.5726,0.7996,12.02
CNN-augmented_Adam_lr0.01_wd0.0,67,22,0.2265,0.842,0.9085,0.6996,0.6471,0.7935,12.05
CNN-augmented_Adam_lr0.01_wd0.0,67,23,0.223,0.942,0.9085,0.6692,0.6065,0.7735,12.05
CNN-augmented_Adam_lr0.01_wd0.0,67,24,0.2188,1.1551,0.9122,0.6353,0.5309,0.7517,12.01
CNN-augmented_Adam_lr0.01_wd0.0,67,25,0.2151,1.0,0.913,0.6625,0.5905,0.7551,12.06
CNN-augmented_Adam_lr0.01_wd0.0,67,26,0.2111,0.9494,0.9158,0.6727,0.6053,0.7733,12.05
CNN-augmented_Adam_lr0.01_wd0.0,67,27,0.2078,1.1027,0.9176,0.6496,0.5269,0.7845,12.01
CNN-augmented_Adam_lr0.01_wd0.0,67,28,0.2044,1.1427,0.9191,0.6703,0.5606,0.786,12.0
CNN-augmented_Adam_lr0.01_wd0.0,67,29,0.2006,1.1955,0.9189,0.6638,0.5805,0.7645,11.99
CNN-augmented_Adam_lr0.01_wd0.0,67,30,0.1983,1.2527,0.9207,0.6415,0.4998,0.7707,11.98
SteerableGCNN_Adam_lr0.01_wd0.0,42,1,0.4635,0.6371,0.7792,0.6762,0.5445,0.8762,45.45
SteerableGCNN_Adam_lr0.01_wd0.0,42,2,0.4322,0.485,0.7984,0.7687,0.7499,0.86,45.43
SteerableGCNN_Adam_lr0.01_wd0.0,42,3,0.4113,0.5118,0.81,0.7679,0.7864,0.8614,45.43
SteerableGCNN_Adam_lr0.01_wd0.0,42,4,0.3966,0.4586,0.8174,0.7964,0.7784,0.885,45.43
SteerableGCNN_Adam_lr0.01_wd0.0,42,5,0.3831,0.5378,0.8268,0.7448,0.6782,0.8871,45.48
SteerableGCNN_Adam_lr0.01_wd0.0,42,6,0.3751,0.6636,0.8299,0.7122,0.6102,0.891,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,7,0.3628,0.4848,0.8374,0.7752,0.7816,0.8617,45.44
SteerableGCNN_Adam_lr0.01_wd0.0,42,8,0.3527,0.4384,0.8429,0.8131,0.8066,0.8923,45.43
SteerableGCNN_Adam_lr0.01_wd0.0,42,9,0.3519,0.558,0.8449,0.7577,0.7882,0.8812,45.45
SteerableGCNN_Adam_lr0.01_wd0.0,42,10,0.3407,0.4338,0.8524,0.8079,0.7833,0.9046,45.43
